isolate	fc	logfc	fc_0.1	fc_0.2	fc_0.33	fc_0.66	fc_0.8	fc_0.9
LK226	3.51351351351351	1.8129144473995034	1	1	1	1	1	1
LK229	0.350806451612904	-1.5112528145381434	1	1	1	0	0	0
LK230	0.293145161290323	-1.7703128513546413	1	1	1	0	0	0
LK231	0.740322580645163	-0.4337740618604263	1	1	1	1	1	0
LK233	0.528225806451614	-0.920773308849422	1	1	1	1	0	0
LK236	0.237096774193549	-2.0764520604378696	1	1	1	0	0	0
LK241	0.29760348583878	-1.7485366700110796	1	1	1	0	0	0
LK244	0.232461873638344	-2.1049339774767466	1	1	1	0	0	0
LK250	0.3119825708061	-1.6804626610369149	1	1	1	0	0	0
LK256	0.161437908496732	-2.6309487059953365	1	1	1	0	0	0
LK257	1.17181467181467	0.228744418569126	1	1	1	1	1	1
LK258	0.980392156862745	-0.028569152196771117	1	1	1	1	1	0
LK261	1.30718954248366	0.38646834708207267	1	1	1	1	1	1
LK264	0.146623093681917	-2.769815743690855	1	1	0	0	0	0
LK267	0.127015250544662	-2.9769263651006774	1	1	0	0	0	0
LK270	0.171459694989107	-2.544058612793682	1	1	1	0	0	0
LK272	0.895424836601307	-0.15935575973212537	1	1	1	1	1	0
LK274	0.121786492374728	-3.0375739654579763	1	1	0	0	0	0
LK276	0.008257080610022	-6.920152495017404	0	0	0	0	0	0
LK277	0.063681917211329	-3.9729724193824794	1	0	0	0	0	0
LK280	0.043747276688453	-4.514662979237766	0	0	0	0	0	0
LK281	0.004967320261438	-7.653316519023765	0	0	0	0	0	0
LK283	0.084531590413943	-3.564365596114049	1	1	0	0	0	0
LK285	0.052265795206972	-4.257989090895089	1	0	0	0	0	0
LK287	0.018932461873638	-5.722994166374159	0	0	0	0	0	0
LK289	0.145533769063181	-2.7805741458271163	1	1	0	0	0	0
LK292	0.147276688453159	-2.7633990020189865	1	1	0	0	0	0
LK295	0.075816993464052	-3.7213349424524473	1	0	0	0	0	0
LK299	0.022004357298475	-5.506066955549372	0	0	0	0	0	0
LK301	0.548148148148148	-0.8673622314218814	1	1	1	1	0	0
LK304	0.158995815899582	-2.6529392945371595	1	1	1	0	0	0
LK308	0.114	-3.1328942704973453	1	1	0	0	0	0
LK309	0.2596	-1.945637711550311	1	1	1	0	0	0
LK310	0.412831241283124	-1.2763759430729555	1	1	1	1	0	0
LK314	0.1788	-2.483581358366132	1	1	1	0	0	0
LK315	0.532	-0.9105018491608974	1	1	1	1	0	0
LK320	0.251046025104602	-1.9939762123722329	1	1	1	0	0	0
LK321	0.278940027894003	-1.8419731189271789	1	1	1	0	0	0
LK324	0.199442119944212	-2.3259579719235153	1	1	1	0	0	0
LK327	0.086471408647141	-3.531632998315027	1	1	0	0	0	0
LK328	0.052440725244073	-4.2531685519116165	1	0	0	0	0	0
LK331	0.203486750348675	-2.2969932356713763	1	1	1	0	0	0
LK332	0.223152022315202	-2.163901213814544	1	1	1	0	0	0
LK334	0.245467224546722	-2.02639769006461	1	1	1	0	0	0
LK335	0.12	-3.0588936890535687	1	1	0	0	0	0
LK336	0.248256624825662	-2.01009587773551	1	1	1	0	0	0
LK337	0.451882845188285	-1.1459793058172785	1	1	1	1	0	0
LK339	0.259414225941423	-1.9466704975938711	1	1	1	0	0	0
LK340	0.421199442119944	-1.2474245693768267	1	1	1	1	0	0
LK341	0.556	-0.8468432119385795	1	1	1	1	0	0
LK342	0.168758716875872	-2.5669660714273075	1	1	1	0	0	0
LK343	0.066666666666667	-3.906890595608511	1	0	0	0	0	0
LK344	0.037517433751743	-4.736295041032657	0	0	0	0	0	0
LK346	0.042259414225942	-4.564583420116296	0	0	0	0	0	0
RV001	0.210526315789474	-2.2479275134435834	1	1	1	0	0	0
RV002	0.200501253132832	-2.3183168413349837	1	1	1	0	0	0
RV003	0.536340852130326	-0.8987779498211983	1	1	1	1	0	0
RV006	0.283558897243108	-1.8182796703532946	1	1	1	0	0	0
RV008	0.177944862155388	-2.4904978167176677	1	1	1	0	0	0
RV009	0.129072681704261	-2.9537444090391234	1	1	0	0	0	0
RV010	0.357142857142857	-1.4854268271702424	1	1	1	0	0	0
RV011	0.433583959899749	-1.2056167085856224	1	1	1	1	0	0
RV012	0.157894736842105	-2.662965012722432	1	1	1	0	0	0
RV013	0.362155388471178	-1.4653192537216668	1	1	1	0	0	0
RV014	0.363408521303258	-1.4603358462074119	1	1	1	0	0	0
RV015	0.421052631578947	-1.2479275134435868	1	1	1	1	0	0
RV018	0.233082706766917	-2.1010861251143162	1	1	1	0	0	0
RV020	0.131578947368421	-2.925999418556224	1	1	0	0	0	0
RV021	0.37844611528822	-1.4018401968972691	1	1	1	1	0	0
RV022	0.334586466165414	-1.57954900453479	1	1	1	0	0	0
RV023	0.120300751879699	-3.0552824355011925	1	1	0	0	0	0
RV024	0.166666666666667	-2.5849625007211534	1	1	1	0	0	0
RV025	0.18546365914787	-2.4307915705933936	1	1	1	0	0	0
RV026	0.172932330827068	-2.531720479444174	1	1	1	0	0	0
RV027	0.078947368421053	-3.6629650127224225	1	1	0	0	0	0
RV028	0.294486215538847	-1.7637279896573466	1	1	1	0	0	0
RV029	0.418546365914787	-1.2565406437482936	1	1	1	1	0	0
RV032	0.140350877192982	-2.832890014164746	1	1	0	0	0	0
RV034	0.176190476190476	-2.504792152037174	1	1	1	0	0	0
RV035	0.178231292517007	-2.4881774381862747	1	1	1	0	0	0
RV036	0.414965986394558	-1.2689350072734775	1	1	1	1	0	0
RV037	0.170068027210884	-2.5558161550616427	1	1	1	0	0	0
RV038	0.469387755102041	-1.0911478880581948	1	1	1	1	0	0
RV039	0.374149659863946	-1.4183126313117032	1	1	1	1	0	0
RV042	0.217687074829932	-2.1996723448363644	1	1	1	0	0	0
RV043	0.386394557823129	-1.3718533202190457	1	1	1	1	0	0
RV045	0.448979591836735	-1.15527822547791	1	1	1	1	0	0
RV047	0.16734693877551	-2.579085934384489	1	1	1	0	0	0
RV049	0.123809523809524	-3.0138057995250285	1	1	0	0	0	0
RV050	0.583673469387755	-0.7767666022241814	1	1	1	1	1	0
RV052	0.4	-1.3219280948873622	1	1	1	1	0	0
RV054	1.10204081632653	0.1401776580482596	1	1	1	1	1	1
RV055	0.938775510204082	-0.09114788805819476	1	1	1	1	1	0
RV057	0.291836734693878	-1.7767666022241788	1	1	1	0	0	0
RV058	0.251700680272109	-1.9902189792074136	1	1	1	0	0	0
RV059	0.231292517006803	-2.112209503586023	1	1	1	0	0	0
RV060	0.510204081632653	-0.9708536543404838	1	1	1	1	0	0
RV061	0.537414965986395	-0.8958915966592602	1	1	1	1	0	0
RV063	0.319727891156463	-1.645083493158725	1	1	1	0	0	0
RV065	0.421768707482993	-1.24547603444949	1	1	1	1	0	0
RV067	1.0952380952381	0.13124453327825886	1	1	1	1	1	1
RV068	0.244897959183673	-2.029747343394055	1	1	1	0	0	0
RV069	0.319727891156463	-1.645083493158725	1	1	1	0	0	0
RV071	0.326530612244898	-1.6147098441152081	1	1	1	0	0	0
RV072	0.625850340136055	-0.6761103887793503	1	1	1	1	1	0
RV073	0.782312925170068	-0.3541822938919892	1	1	1	1	1	0
RV078	0.748299319727891	-0.41831263131170515	1	1	1	1	1	0
RV079	0.268027210884354	-1.899548620267349	1	1	1	0	0	0
RV082	0.673469387755102	-0.5703157247567548	1	1	1	1	1	0
RV083	0.234013605442177	-2.095335685021628	1	1	1	0	0	0
RV084	0.080952380952381	-3.6267826764157824	1	1	0	0	0	0
RV085	1.0	0.0	1	1	1	1	1	0
RV087	0.210884353741497	-2.2454760344494864	1	1	1	0	0	0
RV089	0.612244897959184	-0.7078192485066889	1	1	1	1	1	0
RV090	0.482993197278912	-1.049925225331681	1	1	1	1	0	0
RV094	0.178231292517007	-2.4881774381862747	1	1	1	0	0	0
RV095	0.486394557823129	-1.0398010080579756	1	1	1	1	0	0
RV096	1.02040816326531	0.029146345659521847	1	1	1	1	1	0
RV097	0.394557823129252	-1.341691349708791	1	1	1	1	0	0
RV099	1.23809523809524	0.308122295362334	1	1	1	1	1	1
